Metro_ID,Station_Name,Metro_Line,State_Name,City_Name,Locality_Name,Latitude,Longitude,Platform_Count,Interchange,Parking,Lift,Escalator,Disabled_Access,Daily_Footfall,Opening_Year,Operator,Nearby_Bus_Stop,Nearby_Railway_Station_km,Nearby_Airport_km,Nearby_Mall_km,Nearby_Hospital_km,Nearby_School_km,Nearby_IT_Park_km,Property_Price_Impact,Smart_City_Area,Zone
MET000123,Park 47,Blue Line,Telangana,Hyderabad,Sector 21,23.996629,84.316782,4,Yes,No,Yes,Yes,Yes,88471,2012,HMRL,Yes,7.59,11.12,0.23,1.17,0.5,12.11,Low,Yes,South
MET000124,Park 75,Blue Line,Tamil Nadu,Chennai,Sector 22,8.533969,83.016749,6,No,Yes,Yes,Yes,No,185428,2021,CMRL,Yes,9.6,27.83,3.91,1.79,0.38,14.27,Low,Yes,West
MET000125,City 6,Yellow Line,Maharashtra,Mumbai,Sector 27,24.16679,73.899949,2,Yes,No,Yes,Yes,No,109662,2014,MMRC,Yes,4.71,5.67,3.16,1.46,2.24,5.61,Low,Yes,East
MET000126,Park 53,Blue Line,Telangana,Hyderabad,Sector 15,17.505137,87.860467,3,Yes,Yes,Yes,Yes,Yes,26862,2024,HMRL,Yes,6.39,12.53,6.15,0.75,0.72,15.38,High,No,Central
MET000127,City 93,Blue Line,Tamil Nadu,Chennai,Sector 11,29.599732,87.966622,3,No,Yes,Yes,Yes,No,194604,2007,CMRL,Yes,4.02,8.94,7.55,1.98,2.91,0.72,Low,Yes,East
MET000128,Central 95,Pink Line,Maharashtra,Mumbai,Sector 32,27.315674,76.628245,2,Yes,No,Yes,Yes,Yes,194282,2023,MMRC,Yes,2.16,14.72,4.11,2.5,4.81,4.48,Low,Yes,Central
MET000129,Park 47,Orange Line,Telangana,Hyderabad,Sector 46,13.90338,73.52185,4,No,Yes,Yes,Yes,Yes,192741,2013,HMRL,Yes,0.38,34.91,3.87,1.82,1.34,1.19,High,No,North
MET000130,Lake 54,Pink Line,Karnataka,Bengaluru,Sector 7,21.323136,82.671895,3,No,Yes,Yes,Yes,No,118270,2022,BMRCL,Yes,8.53,13.34,1.83,1.72,4.99,5.82,High,No,North
MET000131,Central 86,Blue Line,Telangana,Hyderabad,Sector 22,12.764046,82.790658,3,No,Yes,Yes,Yes,No,36026,2004,HMRL,Yes,0.63,26.19,7.62,0.18,2.34,5.96,Medium,No,East
MET000132,Market 5,Red Line,Maharashtra,Mumbai,Sector 72,10.30302,75.963546,5,No,Yes,Yes,Yes,Yes,110768,2017,MMRC,Yes,2.41,5.17,6.82,0.92,2.64,2.24,Low,No,South
MET000133,Sector 11,Blue Line,Karnataka,Bengaluru,Sector 15,10.792639,80.194994,4,Yes,No,Yes,Yes,No,108689,2025,BMRCL,Yes,2.93,35.46,1.55,4.25,0.59,7.71,High,No,East
MET000134,Central 90,Purple Line,Karnataka,Bengaluru,Sector 17,23.960792,82.797508,6,No,Yes,Yes,Yes,Yes,124102,2007,BMRCL,Yes,6.39,5.25,6.5,1.29,2.9,1.06,Medium,No,South
MET000135,Park 95,Green Line,Tamil Nadu,Chennai,Sector 45,15.18632,81.316804,6,Yes,Yes,Yes,Yes,No,203133,2006,CMRL,Yes,7.25,16.02,7.58,2.22,3.3,10.64,Medium,No,West
MET000136,Lake 27,Pink Line,Telangana,Hyderabad,Sector 48,8.186746,74.608137,6,Yes,Yes,Yes,Yes,Yes,190842,2003,HMRL,Yes,7.35,25.8,6.98,0.54,1.13,14.74,High,Yes,South
MET000137,Central 21,Red Line,Delhi,New Delhi,Sector 30,12.92598,80.091831,4,Yes,Yes,Yes,Yes,No,68705,2010,DMRC,Yes,2.2,10.53,1.16,1.63,4.33,3.42,Low,No,West
MET000138,Park 57,Orange Line,Karnataka,Bengaluru,Sector 32,9.065852,76.871743,2,No,Yes,Yes,Yes,Yes,210276,2013,BMRCL,Yes,8.68,9.33,5.16,0.15,3.6,8.63,Medium,Yes,Central
MET000139,Sector 53,Orange Line,Maharashtra,Mumbai,Sector 69,21.394437,81.794625,6,Yes,No,Yes,Yes,No,145903,2011,MMRC,Yes,2.38,14.51,6.74,2.08,2.22,18.95,Medium,No,South
MET000140,Central 62,Purple Line,Maharashtra,Mumbai,Sector 17,28.988581,76.282929,2,No,Yes,Yes,Yes,Yes,100414,2019,MMRC,Yes,9.36,18.46,3.32,1.1,0.91,11.28,Medium,Yes,East
MET000141,Market 10,Green Line,Karnataka,Bengaluru,Sector 46,24.900111,79.688516,6,Yes,Yes,Yes,Yes,Yes,210587,2006,BMRCL,Yes,3.01,20.89,2.17,0.29,1.38,1.94,Medium,Yes,North
MET000142,Lake 25,Pink Line,Karnataka,Bengaluru,Sector 46,20.947383,72.53261,4,Yes,Yes,Yes,Yes,Yes,67203,2010,BMRCL,Yes,2.31,36.68,1.2,4.72,1.93,16.78,Low,No,West
MET000143,Lake 79,Blue Line,Tamil Nadu,Chennai,Sector 63,12.248509,77.381127,4,No,Yes,Yes,Yes,Yes,55530,2014,CMRL,Yes,2.83,25.78,2.38,3.16,2.83,16.58,Low,Yes,North
MET000144,City 93,Red Line,Telangana,Hyderabad,Sector 65,29.343652,87.815989,3,Yes,Yes,Yes,Yes,Yes,31296,2023,HMRL,Yes,6.98,17.97,5.1,4.57,2.32,16.74,High,Yes,East
MET000145,Market 73,Orange Line,Delhi,New Delhi,Sector 68,23.59699,73.031276,3,Yes,Yes,Yes,Yes,No,81680,2016,DMRC,Yes,2.55,27.02,1.92,2.21,2.28,16.74,Low,No,Central
MET000146,Market 74,Pink Line,Karnataka,Bengaluru,Sector 46,12.686009,84.506813,5,No,No,Yes,Yes,No,194111,2009,BMRCL,Yes,3.49,9.6,7.18,3.83,4.68,2.7,Low,No,North
MET000147,Park 71,Pink Line,Telangana,Hyderabad,Sector 56,17.944534,77.852456,4,No,Yes,Yes,Yes,No,135279,2018,HMRL,Yes,5.07,16.89,6.37,4.88,0.56,14.73,High,Yes,Central
MET000148,City 52,Purple Line,Karnataka,Bengaluru,Sector 19,18.371984,87.500462,4,Yes,No,Yes,Yes,Yes,31879,2019,BMRCL,Yes,5.76,26.42,6.98,4.05,4.78,13.01,High,Yes,East
MET000149,Central 64,Yellow Line,Telangana,Hyderabad,Sector 14,15.236718,74.063361,6,No,No,Yes,Yes,No,175037,2015,HMRL,Yes,5.77,30.57,4.28,4.17,3.67,7.97,High,Yes,South
MET000150,Park 40,Pink Line,Delhi,New Delhi,Sector 77,13.715899,86.564088,4,Yes,Yes,Yes,Yes,No,228517,2021,DMRC,Yes,6.51,27.49,3.99,2.61,3.62,6.1,Low,No,East
MET000151,City 36,Purple Line,Tamil Nadu,Chennai,Sector 34,19.079641,79.276979,4,Yes,No,Yes,Yes,No,208277,2010,CMRL,Yes,8.96,16.79,5.71,4.89,1.17,8.97,Low,Yes,Central
MET000152,Sector 54,Yellow Line,Karnataka,Bengaluru,Sector 80,16.409228,78.321483,5,No,Yes,Yes,Yes,Yes,117817,2003,BMRCL,Yes,8.99,25.13,6.19,3.87,0.67,11.93,Low,Yes,South
MET000153,Central 19,Green Line,Tamil Nadu,Chennai,Sector 70,24.457616,77.695291,4,No,Yes,Yes,Yes,Yes,201975,2008,CMRL,Yes,7.73,32.16,4.11,1.88,0.35,6.64,Medium,No,West
MET000154,Central 13,Pink Line,Maharashtra,Mumbai,Sector 31,23.900919,87.369173,6,No,No,Yes,Yes,No,108099,2014,MMRC,Yes,9.53,9.74,1.35,2.28,3.62,12.39,High,Yes,East
MET000155,Lake 62,Yellow Line,Delhi,New Delhi,Sector 4,25.983057,85.624523,6,No,No,Yes,Yes,Yes,151914,2009,DMRC,Yes,3.2,7.61,1.08,2.0,1.58,18.46,Low,No,North
MET000156,Market 61,Blue Line,Tamil Nadu,Chennai,Sector 66,22.457489,81.053327,3,Yes,No,Yes,Yes,No,39980,2022,CMRL,Yes,1.6,20.93,5.34,3.84,0.82,9.49,Medium,No,South
MET000157,Park 21,Red Line,Karnataka,Bengaluru,Sector 62,26.13368,75.003069,6,Yes,No,Yes,Yes,Yes,194640,2022,BMRCL,Yes,4.56,29.75,4.95,4.92,2.45,14.71,Low,No,West
MET000158,Market 26,Red Line,Karnataka,Bengaluru,Sector 38,12.936162,86.624998,3,Yes,Yes,Yes,Yes,No,121198,2002,BMRCL,Yes,7.91,16.55,1.0,1.15,4.58,17.28,Medium,Yes,Central
MET000159,City 17,Red Line,Telangana,Hyderabad,Sector 42,14.174551,85.061436,4,Yes,No,Yes,Yes,Yes,143908,2020,HMRL,Yes,8.22,36.29,5.69,1.26,2.51,19.01,High,No,South
MET000160,Central 3,Pink Line,Telangana,Hyderabad,Sector 64,28.138328,85.081683,2,Yes,Yes,Yes,Yes,Yes,133249,2019,HMRL,Yes,7.29,20.39,3.03,4.56,0.93,19.15,High,No,South
MET000161,City 27,Red Line,Delhi,New Delhi,Sector 64,12.852046,77.044859,5,No,No,Yes,Yes,No,161331,2016,DMRC,Yes,3.36,26.13,2.44,4.26,0.78,19.87,Medium,Yes,South
MET000162,Lake 27,Green Line,Karnataka,Bengaluru,Sector 71,29.648347,86.307972,2,Yes,Yes,Yes,Yes,Yes,155934,2006,BMRCL,Yes,1.06,17.23,5.62,4.79,1.52,8.75,High,No,North
MET000163,Lake 75,Purple Line,Maharashtra,Mumbai,Sector 59,24.481962,79.538258,4,No,Yes,Yes,Yes,No,83603,2022,MMRC,Yes,6.53,29.74,4.67,4.75,3.96,3.21,Low,Yes,North
MET000164,Lake 43,Green Line,Telangana,Hyderabad,Sector 65,11.625837,80.357485,2,Yes,No,Yes,Yes,Yes,234742,2009,HMRL,Yes,7.45,18.66,2.34,3.15,0.63,8.66,Low,Yes,South
MET000165,Park 2,Orange Line,Tamil Nadu,Chennai,Sector 21,25.532664,79.955484,3,No,No,Yes,Yes,Yes,46853,2009,CMRL,Yes,4.92,36.47,1.76,3.45,0.19,1.82,Low,No,Central
MET000166,Park 47,Purple Line,Telangana,Hyderabad,Sector 4,25.007032,72.616226,2,No,Yes,Yes,Yes,No,96131,2015,HMRL,Yes,7.01,20.49,1.69,3.17,1.01,6.4,High,No,South
MET000167,Central 69,Orange Line,Delhi,New Delhi,Sector 74,17.745239,73.249665,5,No,No,Yes,Yes,Yes,118732,2019,DMRC,Yes,5.84,37.4,4.92,2.76,0.93,0.83,Low,Yes,Central
MET000168,Lake 20,Green Line,Karnataka,Bengaluru,Sector 24,18.83601,74.79146,3,Yes,No,Yes,Yes,No,249570,2017,BMRCL,Yes,0.71,6.28,7.63,1.07,4.06,9.35,Low,No,South
MET000169,Park 67,Orange Line,Tamil Nadu,Chennai,Sector 28,17.377088,82.578847,5,Yes,Yes,Yes,Yes,No,221734,2024,CMRL,Yes,4.31,17.25,4.48,1.74,1.1,13.23,Medium,No,West
MET000170,Lake 65,Red Line,Telangana,Hyderabad,Sector 26,29.248735,72.65343,4,Yes,Yes,Yes,Yes,Yes,80302,2009,HMRL,Yes,5.35,12.76,1.35,0.5,3.39,18.63,Medium,Yes,Central
MET000171,City 72,Red Line,Maharashtra,Mumbai,Sector 40,26.415621,87.087252,4,No,No,Yes,Yes,No,59823,2015,MMRC,Yes,0.89,23.42,3.0,3.75,3.91,11.64,Medium,No,Central
MET000172,Central 21,Blue Line,Delhi,New Delhi,Sector 3,11.662999,82.420118,6,No,Yes,Yes,Yes,No,73033,2009,DMRC,Yes,4.85,16.59,4.11,2.01,3.52,6.14,Low,No,South
MET000173,City 54,Yellow Line,Maharashtra,Mumbai,Sector 43,21.272734,84.938626,6,No,No,Yes,Yes,No,225104,2008,MMRC,Yes,5.34,15.91,2.85,3.56,0.89,11.02,Medium,No,Central
MET000174,Sector 46,Red Line,Maharashtra,Mumbai,Sector 1,23.585881,83.3347,5,No,Yes,Yes,Yes,Yes,9093,2024,MMRC,Yes,8.65,14.95,5.3,0.36,4.01,5.31,Low,Yes,South
MET000175,Central 96,Red Line,Karnataka,Bengaluru,Sector 24,13.130423,87.64989,4,No,Yes,Yes,Yes,No,89949,2010,BMRCL,Yes,2.86,37.76,3.44,3.54,1.49,8.0,High,Yes,Central
MET000176,City 87,Green Line,Delhi,New Delhi,Sector 11,10.366915,79.247827,2,Yes,Yes,Yes,Yes,Yes,47272,2023,DMRC,Yes,9.65,9.81,2.3,4.8,1.26,6.36,High,Yes,East
MET000177,Lake 36,Purple Line,Maharashtra,Mumbai,Sector 25,20.684429,82.980918,5,No,No,Yes,Yes,Yes,135646,2007,MMRC,Yes,3.62,19.73,6.44,3.13,3.91,11.94,Medium,Yes,Central
MET000178,Sector 71,Red Line,Telangana,Hyderabad,Sector 30,14.961674,82.072875,3,Yes,Yes,Yes,Yes,Yes,61685,2007,HMRL,Yes,1.03,25.2,6.1,4.69,4.52,7.76,Medium,Yes,Central
MET000179,Central 59,Green Line,Tamil Nadu,Chennai,Sector 60,8.654883,79.310693,6,No,No,Yes,Yes,No,238703,2019,CMRL,Yes,3.36,37.33,1.78,2.17,3.2,19.92,High,No,West
MET000180,Market 57,Green Line,Telangana,Hyderabad,Sector 59,11.67928,75.342397,5,Yes,No,Yes,Yes,Yes,246332,2024,HMRL,Yes,9.51,8.97,7.59,3.45,1.22,11.33,High,No,East
MET000181,Market 89,Purple Line,Telangana,Hyderabad,Sector 73,22.127506,86.45279,5,No,Yes,Yes,Yes,Yes,74692,2021,HMRL,Yes,2.08,36.59,6.13,4.94,4.27,6.09,High,No,Central
MET000182,Lake 12,Red Line,Karnataka,Bengaluru,Sector 70,11.897772,81.839815,5,Yes,No,Yes,Yes,No,10487,2003,BMRCL,Yes,1.59,29.73,0.5,2.55,4.39,5.01,Low,Yes,South
MET000183,Market 85,Blue Line,Telangana,Hyderabad,Sector 35,11.177848,84.37686,4,Yes,No,Yes,Yes,No,242038,2007,HMRL,Yes,1.23,15.76,0.5,2.22,2.23,12.02,Medium,Yes,West
MET000184,Sector 62,Red Line,Maharashtra,Mumbai,Sector 33,24.611509,78.517783,6,Yes,No,Yes,Yes,No,133304,2021,MMRC,Yes,8.94,9.33,1.66,1.94,3.61,9.3,Medium,No,West
MET000185,Market 59,Pink Line,Telangana,Hyderabad,Sector 41,10.861807,85.594486,6,Yes,Yes,Yes,Yes,No,141933,2013,HMRL,Yes,6.96,29.75,4.94,1.21,4.11,11.42,Medium,No,West
MET000186,Lake 46,Yellow Line,Telangana,Hyderabad,Sector 57,8.600712,84.706937,5,Yes,No,Yes,Yes,No,115978,2003,HMRL,Yes,5.76,14.71,2.24,4.32,3.08,18.79,High,Yes,Central
MET000187,Central 98,Red Line,Delhi,New Delhi,Sector 42,17.539091,87.183824,2,No,No,Yes,Yes,No,104307,2021,DMRC,Yes,8.02,21.28,1.6,4.93,2.29,18.77,Medium,No,East
MET000188,Park 31,Green Line,Karnataka,Bengaluru,Sector 39,14.747391,74.485979,2,Yes,Yes,Yes,Yes,Yes,50782,2005,BMRCL,Yes,3.8,28.32,5.03,4.58,2.57,4.5,Low,No,Central
MET000189,Lake 53,Yellow Line,Maharashtra,Mumbai,Sector 68,11.089971,83.614589,4,Yes,Yes,Yes,Yes,Yes,105781,2017,MMRC,Yes,8.35,32.5,4.68,1.06,1.74,16.3,High,No,North
MET000190,City 33,Blue Line,Tamil Nadu,Chennai,Sector 32,17.909493,78.489767,4,Yes,Yes,Yes,Yes,No,236563,2008,CMRL,Yes,0.93,12.78,2.53,2.71,3.65,13.3,Medium,No,East
MET000191,City 47,Green Line,Telangana,Hyderabad,Sector 44,23.199724,84.120997,2,No,No,Yes,Yes,No,20230,2024,HMRL,Yes,3.67,22.43,7.37,2.9,0.16,9.72,Medium,Yes,West
MET000192,Market 82,Yellow Line,Tamil Nadu,Chennai,Sector 32,26.048568,84.198217,3,No,No,Yes,Yes,No,73164,2009,CMRL,Yes,0.65,6.06,0.69,1.97,0.16,2.74,High,No,West
MET000193,Lake 85,Orange Line,Delhi,New Delhi,Sector 38,17.302168,85.726322,2,No,Yes,Yes,Yes,No,38868,2006,DMRC,Yes,9.39,33.95,1.43,4.7,1.96,18.04,Medium,Yes,West
MET000194,Sector 51,Green Line,Karnataka,Bengaluru,Sector 78,16.639357,85.054286,6,No,Yes,Yes,Yes,Yes,99899,2016,BMRCL,Yes,5.11,34.33,3.64,1.95,4.24,14.72,High,Yes,West
MET000195,Sector 37,Red Line,Maharashtra,Mumbai,Sector 35,9.882173,79.393737,3,Yes,No,Yes,Yes,Yes,198231,2019,MMRC,Yes,0.79,5.26,7.27,4.16,4.33,11.26,Medium,Yes,Central
MET000196,Lake 73,Pink Line,Karnataka,Bengaluru,Sector 40,24.985183,77.255154,2,No,Yes,Yes,Yes,No,14468,2017,BMRCL,Yes,7.36,33.06,0.76,4.2,0.97,6.06,Low,No,West
MET000197,Lake 29,Red Line,Maharashtra,Mumbai,Sector 55,17.009191,76.036961,5,Yes,Yes,Yes,Yes,Yes,38905,2007,MMRC,Yes,6.55,6.54,3.29,4.83,3.28,3.2,Low,Yes,West
MET000198,City 75,Yellow Line,Maharashtra,Mumbai,Sector 22,19.883196,73.960793,3,No,No,Yes,Yes,No,147041,2011,MMRC,Yes,2.1,26.02,3.12,1.06,2.23,2.87,High,No,East
MET000199,City 99,Yellow Line,Telangana,Hyderabad,Sector 33,25.971984,72.943922,5,No,Yes,Yes,Yes,Yes,117977,2007,HMRL,Yes,3.96,39.08,7.96,3.29,1.97,4.23,High,Yes,Central
MET000200,Park 49,Purple Line,Delhi,New Delhi,Sector 40,15.05412,79.325017,2,Yes,Yes,Yes,Yes,No,193483,2011,DMRC,Yes,7.97,39.58,7.41,1.41,0.14,12.13,High,No,West
MET000201,Lake 54,Purple Line,Karnataka,Bengaluru,Sector 40,24.057227,76.926087,2,Yes,No,Yes,Yes,No,74631,2021,BMRCL,Yes,0.93,16.13,7.97,1.66,1.18,11.15,Low,Yes,North
MET000202,Sector 8,Blue Line,Delhi,New Delhi,Sector 30,15.020159,83.069314,3,Yes,No,Yes,Yes,No,62443,2005,DMRC,Yes,1.32,39.88,3.39,2.58,4.21,14.42,Low,Yes,South
MET000203,Park 68,Blue Line,Delhi,New Delhi,Sector 43,8.466771,77.905198,2,Yes,No,Yes,Yes,No,97824,2011,DMRC,Yes,1.53,15.5,7.89,1.17,3.33,3.7,Low,Yes,North
MET000204,Sector 88,Yellow Line,Karnataka,Bengaluru,Sector 70,14.398465,76.231985,2,Yes,No,Yes,Yes,No,122926,2023,BMRCL,Yes,7.0,9.77,7.76,2.84,4.6,10.09,High,No,West
MET000205,Lake 68,Yellow Line,Maharashtra,Mumbai,Sector 11,23.238934,82.91399,2,Yes,No,Yes,Yes,Yes,119544,2012,MMRC,Yes,2.25,22.13,3.99,3.6,1.17,17.3,Medium,No,West
MET000206,Sector 79,Green Line,Delhi,New Delhi,Sector 41,8.070937,73.034728,4,Yes,Yes,Yes,Yes,No,36715,2014,DMRC,Yes,1.58,6.85,2.21,2.73,1.4,7.24,High,Yes,Central
MET000207,Park 9,Purple Line,Telangana,Hyderabad,Sector 60,29.656959,72.427458,3,No,Yes,Yes,Yes,Yes,147632,2009,HMRL,Yes,5.01,28.26,0.55,1.93,1.97,7.0,High,Yes,West
MET000208,City 1,Orange Line,Delhi,New Delhi,Sector 41,9.260813,81.216225,5,Yes,Yes,Yes,Yes,No,122999,2024,DMRC,Yes,7.78,24.37,4.92,1.54,2.74,17.89,High,No,South
MET000209,Lake 37,Blue Line,Delhi,New Delhi,Sector 57,10.219185,72.336847,4,Yes,Yes,Yes,Yes,Yes,137612,2012,DMRC,Yes,1.3,8.71,7.98,3.56,1.04,19.7,High,No,North
MET000210,Lake 51,Green Line,Delhi,New Delhi,Sector 75,20.94736,79.835358,5,No,No,Yes,Yes,Yes,226700,2008,DMRC,Yes,5.74,24.58,5.84,0.72,3.49,6.11,Low,Yes,East
MET000211,Park 98,Green Line,Tamil Nadu,Chennai,Sector 59,28.693247,74.310472,3,No,Yes,Yes,Yes,No,95803,2009,CMRL,Yes,1.11,10.89,2.34,3.72,4.28,0.72,Low,No,Central
MET000212,Park 3,Red Line,Delhi,New Delhi,Sector 35,12.16484,73.445777,6,Yes,No,Yes,Yes,No,107030,2015,DMRC,Yes,8.66,21.69,4.31,4.71,0.34,19.76,High,No,South
MET000213,Park 70,Orange Line,Telangana,Hyderabad,Sector 60,19.7668,84.76403,4,No,Yes,Yes,Yes,No,128237,2023,HMRL,Yes,9.01,36.7,4.47,1.85,0.87,1.2,Medium,No,East
MET000214,Park 43,Green Line,Maharashtra,Mumbai,Sector 58,12.843205,73.112694,4,Yes,Yes,Yes,Yes,Yes,161633,2011,MMRC,Yes,5.49,38.36,1.38,4.04,1.46,8.35,High,Yes,North
MET000215,Sector 27,Orange Line,Maharashtra,Mumbai,Sector 14,28.354806,80.397673,3,No,No,Yes,Yes,Yes,95070,2025,MMRC,Yes,5.46,12.31,2.26,4.79,2.1,7.81,Low,Yes,East
MET000216,City 59,Blue Line,Delhi,New Delhi,Sector 52,17.775441,79.095901,2,Yes,No,Yes,Yes,Yes,193910,2020,DMRC,Yes,7.35,5.2,5.99,2.33,0.15,2.16,Medium,No,West
MET000217,Park 38,Blue Line,Maharashtra,Mumbai,Sector 17,24.143303,74.916324,5,Yes,Yes,Yes,Yes,Yes,128507,2007,MMRC,Yes,9.16,16.67,0.82,2.23,2.57,19.56,Medium,No,Central
MET000218,Sector 24,Red Line,Telangana,Hyderabad,Sector 8,26.348726,75.871945,3,Yes,No,Yes,Yes,Yes,196075,2005,HMRL,Yes,6.03,27.77,4.66,0.96,1.04,13.02,High,No,West
MET000219,Sector 89,Yellow Line,Delhi,New Delhi,Sector 1,27.045308,81.058684,5,Yes,No,Yes,Yes,Yes,23731,2017,DMRC,Yes,0.91,25.65,6.13,1.19,0.31,2.01,High,Yes,Central
MET000220,Lake 85,Purple Line,Maharashtra,Mumbai,Sector 35,15.821921,76.280942,6,No,Yes,Yes,Yes,No,180836,2010,MMRC,Yes,3.08,5.84,2.91,1.42,1.94,14.35,Medium,No,North
MET000221,Sector 23,Red Line,Tamil Nadu,Chennai,Sector 19,10.532829,84.708671,2,Yes,No,Yes,Yes,Yes,19495,2010,CMRL,Yes,3.86,21.88,7.79,1.48,0.45,3.42,Medium,Yes,East
MET000222,Central 39,Purple Line,Delhi,New Delhi,Sector 43,22.700193,86.815042,2,No,Yes,Yes,Yes,No,113764,2021,DMRC,Yes,7.74,35.91,7.78,1.06,2.4,4.74,Low,No,East
MET000223,Sector 63,Purple Line,Telangana,Hyderabad,Sector 24,24.307532,82.311388,5,Yes,Yes,Yes,Yes,Yes,172079,2007,HMRL,Yes,9.79,27.81,4.34,1.33,1.38,6.49,High,No,East
MET000224,City 44,Pink Line,Telangana,Hyderabad,Sector 55,25.930196,87.415223,4,No,No,Yes,Yes,Yes,249678,2006,HMRL,Yes,8.16,6.57,3.31,2.34,1.13,13.82,High,Yes,Central
MET000225,Sector 64,Red Line,Tamil Nadu,Chennai,Sector 62,12.680966,75.731137,4,No,No,Yes,Yes,Yes,37858,2007,CMRL,Yes,9.68,26.11,3.95,3.37,4.79,18.79,High,No,North
MET000226,Lake 94,Green Line,Tamil Nadu,Chennai,Sector 30,28.363256,85.359459,5,Yes,No,Yes,Yes,Yes,122303,2014,CMRL,Yes,1.74,16.36,6.66,2.12,3.37,12.05,High,Yes,South
MET000227,Sector 86,Yellow Line,Delhi,New Delhi,Sector 42,15.11778,83.765136,6,Yes,Yes,Yes,Yes,Yes,60658,2003,DMRC,Yes,6.9,26.44,0.27,1.26,4.06,1.17,High,Yes,South
MET000228,Lake 64,Blue Line,Delhi,New Delhi,Sector 54,11.330234,84.82173,3,No,No,Yes,Yes,No,35280,2005,DMRC,Yes,1.72,5.44,1.52,3.77,0.54,4.39,High,No,North
MET000229,City 84,Blue Line,Karnataka,Bengaluru,Sector 9,18.839908,84.148511,3,No,Yes,Yes,Yes,No,136556,2006,BMRCL,Yes,7.96,24.25,3.63,4.51,3.52,8.24,High,Yes,Central
MET000230,Market 58,Blue Line,Maharashtra,Mumbai,Sector 3,28.659766,74.967445,4,No,No,Yes,Yes,Yes,21341,2025,MMRC,Yes,2.95,28.79,5.98,3.77,4.69,14.42,High,Yes,West
MET000231,Central 48,Purple Line,Maharashtra,Mumbai,Sector 28,18.092256,84.710736,6,No,Yes,Yes,Yes,Yes,20888,2006,MMRC,Yes,1.53,32.31,7.24,2.07,0.91,16.47,Low,No,South
MET000232,Sector 86,Yellow Line,Maharashtra,Mumbai,Sector 43,21.928341,82.193481,4,Yes,Yes,Yes,Yes,No,87810,2014,MMRC,Yes,6.92,20.74,5.66,0.95,1.86,14.64,High,No,East
MET000233,Central 22,Green Line,Delhi,New Delhi,Sector 73,27.924507,83.550328,6,Yes,Yes,Yes,Yes,Yes,144407,2014,DMRC,Yes,6.22,37.33,0.22,2.44,4.66,7.48,Low,Yes,East
MET000234,Market 93,Red Line,Maharashtra,Mumbai,Sector 48,21.470571,86.09548,3,Yes,Yes,Yes,Yes,Yes,187722,2005,MMRC,Yes,3.63,17.35,4.63,3.84,1.06,4.44,Low,Yes,North
MET000235,Sector 93,Yellow Line,Maharashtra,Mumbai,Sector 58,24.24079,83.357333,6,Yes,Yes,Yes,Yes,Yes,159859,2005,MMRC,Yes,3.97,20.84,1.92,0.1,1.3,17.55,Low,Yes,South
MET000236,Sector 81,Purple Line,Tamil Nadu,Chennai,Sector 63,29.338593,76.722236,6,No,No,Yes,Yes,Yes,143705,2025,CMRL,Yes,1.13,6.54,4.51,1.8,4.58,13.66,Low,Yes,North
MET000237,Lake 47,Pink Line,Delhi,New Delhi,Sector 58,8.188052,83.11891,4,No,No,Yes,Yes,Yes,90137,2004,DMRC,Yes,1.05,9.73,2.28,4.9,2.48,7.5,Medium,No,East
MET000238,Market 70,Blue Line,Maharashtra,Mumbai,Sector 35,14.344626,72.758165,6,No,No,Yes,Yes,Yes,191999,2005,MMRC,Yes,7.08,28.99,0.14,3.25,0.18,3.1,Low,Yes,West
MET000239,Lake 65,Green Line,Telangana,Hyderabad,Sector 63,18.072448,80.131768,6,Yes,Yes,Yes,Yes,Yes,91524,2017,HMRL,Yes,1.63,11.68,4.79,4.37,2.7,3.57,Medium,No,Central
MET000240,Lake 61,Orange Line,Maharashtra,Mumbai,Sector 75,17.135068,86.53778,3,No,Yes,Yes,Yes,No,103328,2004,MMRC,Yes,0.45,37.27,2.46,2.41,4.21,18.94,High,Yes,East
MET000241,Market 5,Green Line,Tamil Nadu,Chennai,Sector 75,12.522231,83.504954,4,Yes,Yes,Yes,Yes,No,139378,2003,CMRL,Yes,5.28,35.65,2.31,4.12,3.73,11.19,Low,No,West
MET000242,Park 59,Orange Line,Karnataka,Bengaluru,Sector 45,28.390418,84.260977,4,Yes,Yes,Yes,Yes,No,247881,2022,BMRCL,Yes,2.54,22.99,1.76,0.7,0.33,18.88,Low,Yes,West
MET000243,City 78,Green Line,Tamil Nadu,Chennai,Sector 48,24.112006,77.352136,2,Yes,Yes,Yes,Yes,Yes,34689,2020,CMRL,Yes,6.55,11.39,1.35,2.43,4.87,14.99,High,No,North
MET000244,Park 73,Red Line,Maharashtra,Mumbai,Sector 24,22.111537,86.396542,6,Yes,Yes,Yes,Yes,No,232339,2008,MMRC,Yes,9.86,28.56,3.37,3.3,0.33,15.99,High,No,East
MET000245,Sector 67,Orange Line,Telangana,Hyderabad,Sector 22,22.546118,80.392205,6,No,No,Yes,Yes,Yes,188409,2015,HMRL,Yes,8.97,8.35,6.22,2.01,0.26,11.79,High,Yes,West
MET000246,Central 9,Red Line,Maharashtra,Mumbai,Sector 69,29.402652,72.011416,3,No,Yes,Yes,Yes,Yes,247484,2025,MMRC,Yes,7.97,39.26,1.21,0.92,2.89,15.97,Low,No,East
