Hospital_ID,Hospital_Name,Hospital_Type,Chain_Name,Ownership,State_ID,State_Name,City_ID,City_Name,Locality_ID,Locality_Name,Address,Pincode,Latitude,Longitude,Beds,ICU_Beds,Doctors,Nurses,Emergency,Trauma_Center,ICU,NICU,Blood_Bank,Pharmacy,Diagnostic_Lab,MRI,CT_Scan,Ambulance,NABH_Accredited,Cardiology,Neurology,Orthopedics,Oncology,Pediatrics,Gynecology,Dialysis,Rating,Reviews,Consultation_Fee,Annual_Patients,Established_Year,Website,Email,Phone,Quality_Index
HSP014753,Supreme Medical Centre,Women's Hospital,Independent,Trust,ST007,Gujarat,C0498,Gujarat City 498,L06479,Colony 33 Enclave,"55, Kapoor Path",545314,32.617001,76.003738,1445,217,309,733,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4.0,2857,300,431550,1967,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,74.0
HSP006872,Wellness Medical Centre,Children Hospital,Independent,Private,ST007,Gujarat,C0498,Gujarat City 498,L06478,Phase 84 Township,"75/24
Chakraborty Road",310219,26.86914,77.246942,743,68,237,328,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,4.3,28114,1200,563007,2007,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.37
HSP013053,Wellness Super Speciality Hospital,Super Speciality,Independent,Government,ST007,Gujarat,C0498,Gujarat City 498,L06479,Colony 33 Enclave,"H.No. 525
Tella Ganj",545314,32.615684,75.999461,303,33,53,114,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,3.8,23942,700,256812,1990,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.35
HSP012425,Aster DM Healthcare,Super Speciality,Aster DM Healthcare,Trust,ST007,Gujarat,C0514,Gujarat City 514,L06693,Sector 84 Enclave,"H.No. 79
Kadakia Road",437440,14.808273,72.262936,493,46,86,274,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,4.2,20882,1200,656069,1952,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.32
HSP003878,Care Children Hospital,Heart Hospital,Independent,Government,ST007,Gujarat,C0514,Gujarat City 514,L06697,Sector 49 Paradise,"H.No. 082
Solanki",783664,34.385662,75.757949,2075,227,536,1110,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,4.3,20574,1500,222566,1964,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.01
HSP019856,Fortis Healthcare,Medical College,Fortis Healthcare,Government,ST007,Gujarat,C0514,Gujarat City 514,L06699,Nagar 30 Vista,"H.No. 25
Sarna Zila",953945,23.995663,84.351621,2166,240,594,751,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.8,4353,1500,176063,1958,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,92.29
HSP023466,Global Cancer Centre,Government Hospital,Independent,Trust,ST007,Gujarat,C0514,Gujarat City 514,L06698,Sector 96 County,"H.No. 175
Sahota Path",768052,10.975495,96.556862,108,10,27,62,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,4.8,3708,1200,173671,1954,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,71.86
HSP008281,Green Trauma Centre,Medical College,Independent,Private,ST007,Gujarat,C0514,Gujarat City 514,L06697,Sector 49 Paradise,"H.No. 07
Aggarwal Street",783664,34.387059,75.758559,722,78,181,270,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4.0,18006,700,79818,1960,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,88.39
HSP001704,Health Heart Institute,Children Hospital,Independent,Trust,ST007,Gujarat,C0514,Gujarat City 514,L06688,Colony 62 County,"H.No. 655, Soni Street",392783,9.771897,76.381533,1521,192,354,573,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,4.7,3349,300,541041,2000,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,66.68
HSP012864,Hope Medical Centre,Medical College,Independent,Private,ST007,Gujarat,C0514,Gujarat City 514,L06698,Sector 96 County,"H.No. 46, Chacko Road",768052,10.981688,96.553683,75,9,23,37,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,4.8,7431,2000,315299,1979,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,82.08
HSP015758,Hope Multispeciality Hospital,Cancer Hospital,Independent,Government,ST007,Gujarat,C0514,Gujarat City 514,L06688,Colony 62 County,"H.No. 54
Balakrishnan Zila",392783,9.770814,76.383075,675,64,118,396,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,4.3,788,1200,67890,2000,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,94.99
HSP007950,Max Healthcare,Cancer Hospital,Max Healthcare,Private,ST007,Gujarat,C0514,Gujarat City 514,L06697,Sector 49 Paradise,"H.No. 24, Patel Path",783664,34.385647,75.759058,866,85,285,288,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,3.2,3099,1000,397405,2015,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,90.95
HSP009306,National Children Hospital,Heart Hospital,Independent,Government,ST007,Gujarat,C0514,Gujarat City 514,L06695,Enclave 68 City,"H.No. 426
Mutti Zila",532382,35.548469,87.181314,1921,178,362,660,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,3.8,16070,300,468721,1961,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,96.78
HSP011228,Royal Multispeciality Hospital,Heart Hospital,Independent,Trust,ST007,Gujarat,C0514,Gujarat City 514,L06692,Colony 65 City,"61, Mander Chowk",202755,18.055737,71.541179,2114,211,648,1069,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,3.5,16153,200,694051,2000,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.8
HSP005736,Sunrise Trauma Centre,Women's Hospital,Independent,Government,ST007,Gujarat,C0514,Gujarat City 514,L06696,Nagar 141 Vista,"98/700
Din",559748,18.180807,71.111581,132,13,37,63,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.9,23006,1000,58174,2016,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,69.04
HSP020297,Yashoda Hospitals,Heart Hospital,Yashoda Hospitals,Private,ST007,Gujarat,C0514,Gujarat City 514,L06696,Nagar 141 Vista,"H.No. 04
Sanghvi Marg",559748,18.181265,71.10746,1212,205,327,633,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,3.1,22891,200,472542,1953,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,86.62
HSP011886,Apex Children Hospital,Government Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07001,Colony 48 Vista,"06/987, Borra Chowk",718336,9.189474,88.041006,890,106,161,473,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,3.3,22935,1500,676645,2000,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.51
HSP018032,BLK-Max Super Speciality Hospital,Private Hospital,BLK-Max Super Speciality Hospital,Private,ST007,Gujarat,C0536,Gujarat City 536,L06994,Enclave 11 Township,"45
Goyal Zila",469393,25.062093,92.255999,42,7,13,20,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.4,24036,200,499449,1959,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,92.96
HSP002117,Care Hospital,Children Hospital,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L07008,Extension 3 Enclave,"36/78
Mandal Circle",363035,23.825156,94.784271,838,107,157,300,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4.6,17649,2000,340021,1954,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.41
HSP016264,Christian Medical College,Medical College,Christian Medical College,Trust,ST007,Gujarat,C0536,Gujarat City 536,L07002,Colony 146 Township,"22, Bobal Road",531281,12.476712,85.491727,965,127,164,458,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,3.7,9745,400,166215,1950,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,76.19
HSP009644,Crystal Children Hospital,Children Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07007,Enclave 100 Township,"62/578
Sarin",722725,28.095888,70.358818,398,47,102,166,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,4.7,27642,700,350099,1976,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,85.53
HSP014135,Crystal Medical Institute,Medical College,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07005,Phase 58 Residency,"83/320, Nori Marg",877820,16.117055,92.99717,79,7,14,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,4.1,26070,400,168741,1995,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,84.16
HSP015118,Crystal Trauma Centre,Women's Hospital,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L06998,Colony 15 County,"H.No. 298, Shah Zila",620818,17.347778,70.640513,78,9,22,41,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4.8,10474,300,209815,2018,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,86.21
HSP003215,Global Health Centre,Heart Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L07003,Garden 114 Paradise,"H.No. 765, Krishnamurthy Path",626085,21.383683,74.022253,584,92,109,241,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,4.9,10892,200,388159,1983,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,85.62
HSP020238,Green Health Centre,Women's Hospital,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L07005,Phase 58 Residency,"97/12, Shah Circle",877820,16.116185,92.997599,219,34,47,116,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,4.9,5714,2000,93119,1950,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,83.25
HSP014499,Green Multispeciality Hospital,Government Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07006,Enclave 52 Residency,"32/936, Devi Marg",160820,30.237437,84.087334,181,26,30,68,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,4.1,17166,1500,118600,1958,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,71.48
HSP008520,Health Heart Institute,Super Speciality,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07005,Phase 58 Residency,"40, Setty Ganj",877820,16.123221,92.988859,711,84,157,437,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,4.6,14068,300,288622,1980,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,94.39
HSP006777,Health Hospital,Children Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07004,Nagar 141 Enclave,"H.No. 06, Muni Marg",787210,13.466316,96.043858,2467,339,465,872,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,4.0,799,200,348660,1951,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,96.51
HSP021215,Hope Children Hospital,Government Hospital,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L06998,Colony 15 County,"26
Ramakrishnan Path",620818,17.346266,70.637785,1385,223,276,465,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,4.5,23402,1000,545188,1986,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,79.35
HSP001059,Hope Heart Institute,Women's Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06994,Enclave 11 Township,"45/687, Varkey Chowk",469393,25.057801,92.261411,2411,221,752,1181,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,4.3,593,500,636501,2007,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,76.12
HSP000936,Hope Hospital,Government Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L07003,Garden 114 Paradise,"51
Narayanan Chowk",626085,21.384545,74.016468,2287,326,383,1311,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,4.1,20088,1500,401140,2018,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.17
HSP016822,Kokilaben Dhirubhai Ambani Hospital,Medical College,Kokilaben Dhirubhai Ambani Hospital,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06995,Garden 138 City,"869
Shenoy Marg",398300,36.487561,69.721128,1684,265,521,799,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,4.2,26651,400,693374,1973,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,79.14
HSP000029,Lotus Hospital,Private Hospital,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L06995,Garden 138 City,"710
Doshi Road",398300,36.494663,69.717228,1075,87,189,463,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,4.9,15058,2000,308921,1965,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,82.33
HSP004355,Lotus Trauma Centre,Children Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06999,Nagar 102 City,"73/078, Saxena Path",959984,36.762285,89.116151,342,41,81,171,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,3.9,27485,700,512325,1990,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,94.83
HSP000006,Manipal Hospitals,Private Hospital,Manipal Hospitals,Government,ST007,Gujarat,C0536,Gujarat City 536,L06994,Enclave 11 Township,"27/39, Sura Marg",469393,25.060599,92.259378,1225,112,295,602,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4.1,6073,200,603669,1984,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,75.79
HSP013730,Metro Medical Centre,Government Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L07001,Colony 48 Vista,"H.No. 627
Date Zila",718336,9.182559,88.040069,1572,140,268,564,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,3.1,29942,500,387462,1970,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,88.67
HSP012415,Prime Super Speciality Hospital,Private Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L07003,Garden 114 Paradise,"H.No. 94, Prabhu Road",626085,21.385276,74.018247,179,14,29,62,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4.9,20255,300,654431,2005,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,91.79
HSP000606,Shree Cancer Centre,Medical College,Independent,Private,ST007,Gujarat,C0536,Gujarat City 536,L07003,Garden 114 Paradise,"H.No. 29
Balakrishnan Marg",626085,21.38521,74.021655,721,98,224,306,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,4.8,25132,300,485075,1995,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,87.57
HSP010997,Sir Ganga Ram Hospital,Cancer Hospital,Sir Ganga Ram Hospital,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06996,Garden 145 Township,"299
Dhawan Street",832790,32.373078,88.539801,2268,286,449,1126,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,3.8,6075,700,284920,1999,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,69.79
HSP004883,Sunrise Heart Institute,Children Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06997,Layout 56 Heights,"72/30
Thakkar Street",284235,16.426666,70.476651,1270,104,341,450,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,4.7,24408,1500,520052,1991,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,68.41
HSP017163,Supreme Medical Centre,Children Hospital,Independent,Government,ST007,Gujarat,C0536,Gujarat City 536,L06998,Colony 15 County,"55, Gokhale",620818,17.342398,70.63925,1845,261,545,1179,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,3.3,14927,2000,439091,1981,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,82.02
HSP019113,Tata Memorial Hospital,Private Hospital,Tata Memorial Hospital,Government,ST007,Gujarat,C0536,Gujarat City 536,L06996,Garden 145 Township,"H.No. 478
Mangal Road",832790,32.372494,88.545769,1690,194,285,568,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,3.2,5039,400,325383,2010,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,76.76
HSP010761,Wellness Medical Centre,Government Hospital,Independent,Trust,ST007,Gujarat,C0536,Gujarat City 536,L06996,Garden 145 Township,"H.No. 24
Sarin Street",832790,32.377041,88.543965,1050,178,336,511,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,3.1,13038,700,172257,1956,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.11
HSP008257,Yashoda Hospitals,Government Hospital,Yashoda Hospitals,Private,ST007,Gujarat,C0536,Gujarat City 536,L07008,Extension 3 Enclave,"H.No. 356, Mital",363035,23.828289,94.780306,1380,163,346,480,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,4.8,371,200,91279,2020,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.41
HSP014882,Artemis Hospitals,Children Hospital,Artemis Hospitals,Government,ST007,Gujarat,C0605,Gujarat City 605,L07916,Colony 126 Gardens,"304, Shenoy Ganj",180643,21.681301,82.8385,342,54,103,170,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,4.0,25689,1200,8703,2025,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,74.97
HSP004861,CARE Hospitals,Government Hospital,CARE Hospitals,Private,ST007,Gujarat,C0605,Gujarat City 605,L07914,Phase 43 Vista,"03/84
Ratta Circle",376169,33.597064,85.108917,1820,316,457,1037,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.8,26032,500,426125,1981,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,87.33
HSP010432,City Medical Centre,Government Hospital,Independent,Private,ST007,Gujarat,C0605,Gujarat City 605,L07909,Layout 24 Paradise,"52
Sha Ganj",768132,14.246111,75.725501,1848,148,390,665,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,4.0,28890,300,103550,1950,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,83.64
HSP007557,City Medical Institute,Medical College,Independent,Trust,ST007,Gujarat,C0605,Gujarat City 605,L07910,Layout 109 City,"H.No. 331, Ravi Nagar",441638,24.838952,73.640613,943,90,166,368,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,4.6,8594,500,323381,2015,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,66.06
HSP016263,City Super Speciality Hospital,Super Speciality,Independent,Trust,ST007,Gujarat,C0605,Gujarat City 605,L07907,Colony 26 Gardens,"37/16
Parekh Circle",110882,8.824063,94.189298,2387,386,553,833,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,4.4,18090,1000,352167,1963,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,74.57
HSP020580,City Super Speciality Hospital,Heart Hospital,Independent,Trust,ST007,Gujarat,C0605,Gujarat City 605,L07914,Phase 43 Vista,"110, Keer Path",376169,33.602462,85.108118,1855,290,381,950,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,3.3,13316,1500,600072,1985,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,95.91
HSP007185,Elite Super Speciality Hospital,Women's Hospital,Independent,Government,ST007,Gujarat,C0605,Gujarat City 605,L07910,Layout 109 City,"H.No. 79, Raj Marg",441638,24.832712,73.637968,474,61,145,215,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3.6,2126,1000,491151,1964,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,65.72
HSP012335,Fortis Healthcare,Heart Hospital,Fortis Healthcare,Trust,ST007,Gujarat,C0605,Gujarat City 605,L07905,Extension 89 City,"639, Chadha Chowk",951291,20.784307,88.357561,141,22,27,83,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,3.2,14244,1200,646896,1999,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,82.5
HSP020429,Hope Cancer Centre,Cancer Hospital,Independent,Government,ST007,Gujarat,C0605,Gujarat City 605,L07908,Park 109 City,"03/01, Kibe Circle",953640,21.566108,84.770056,1611,219,317,840,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4.2,19879,500,204327,1987,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,87.56
HSP002922,Hope Children Hospital,Super Speciality,Independent,Private,ST007,Gujarat,C0605,Gujarat City 605,L07915,Phase 76 Residency,"84
Bedi Path",563229,25.018296,74.063568,1749,160,344,628,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,4.8,2085,500,258630,2010,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,85.1
HSP008404,KIMS Hospitals,Children Hospital,KIMS Hospitals,Private,ST007,Gujarat,C0605,Gujarat City 605,L07903,Nagar 143 Residency,"H.No. 18
Gill Marg",155223,20.135356,71.32297,1572,154,454,646,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,3.1,5538,1500,231361,2014,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,90.63
HSP000614,Life Multispeciality Hospital,Government Hospital,Independent,Private,ST007,Gujarat,C0605,Gujarat City 605,L07912,Colony 21 Gardens,"H.No. 608
Amble Chowk",628340,28.150537,96.192116,1541,123,280,683,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,5.0,7016,500,618248,1985,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,88.88
HSP003684,Manipal Hospitals,Government Hospital,Manipal Hospitals,Private,ST007,Gujarat,C0605,Gujarat City 605,L07913,Phase 132 Heights,"997
Pillay Marg",186339,9.548017,77.903501,1971,334,390,942,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3.7,12354,500,442063,1969,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,68.64
HSP013759,Manipal Hospitals,Cancer Hospital,Manipal Hospitals,Trust,ST007,Gujarat,C0605,Gujarat City 605,L07906,Block 59 Vista,"74/147
Mani Path",624002,17.365379,76.215791,533,85,123,283,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,3.9,20570,2000,576423,1989,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,81.34
HSP018446,Metro Health Centre,Women's Hospital,Independent,Government,ST007,Gujarat,C0605,Gujarat City 605,L07906,Block 59 Vista,"00
Bala",624002,17.366879,76.220591,983,175,200,570,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,3.7,27161,500,468454,2002,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,97.06
HSP016835,Metro Medical Institute,Children Hospital,Independent,Government,ST007,Gujarat,C0605,Gujarat City 605,L07907,Colony 26 Gardens,"H.No. 094
Kata Zila",110882,8.832277,94.180883,1402,193,425,555,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,4.9,435,1500,577471,2002,https://www.sunriseheartinstitute.com,sunriseheartinstitute@hospital.in,+91-9514717848,73.73
