city,quarter,hpi_assessment,composite_price_rs_sqft,price_le_60sqm_rs_sqft,price_60_110sqm_rs_sqft,price_gt_110sqm_rs_sqft,source,source_url,series,access_period
Nashik,Jun 2026,106.37,5043,4805,5134,6027,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nashik,Mar 2026,104.8,4969,4711,5087,5915,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Nashik,Sep 2025,102.2,4846,4608,4958,5688,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Navi Mumbai,Dec 2025,99.8,17485,15957,22848,20477,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Navi Mumbai,Jun 2025,102.89,18026,16793,22398,20223,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Navi Mumbai,Jun 2026,107.57,18847,17324,23929,23048,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Navi Mumbai,Mar 2026,104.42,18295,16818,23306,21976,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Navi Mumbai,Sep 2025,97.57,17094,15563,22519,19848,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
New Town Kolkata,Dec 2025,103.65,8141,7772,8021,9174,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
New Town Kolkata,Jun 2025,100.2,7870,7751,7593,8940,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
New Town Kolkata,Jun 2026,111.49,8757,8295,8708,9734,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
New Town Kolkata,Mar 2026,107.28,8426,7966,8320,9579,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
New Town Kolkata,Sep 2025,100.29,7877,7664,7746,8661,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Noida,Dec 2025,112.23,10414,6983,11033,13176,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Noida,Jun 2025,103.99,9649,6702,9852,12581,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Noida,Jun 2026,115.42,10710,7450,11345,13253,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Noida,Mar 2026,113.2,10504,7151,11144,13144,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Noida,Sep 2025,108.47,10065,6839,10510,12893,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Panvel,Dec 2025,100.64,12990,12595,15493,11701,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Panvel,Jun 2025,99.95,12901,12521,15301,11703,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Panvel,Jun 2026,100.73,13001,12505,15848,13347,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Panvel,Mar 2026,100.39,12957,12485,15742,12799,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Panvel,Sep 2025,99.54,12848,12462,15150,12567,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Patna,Dec 2025,106.02,6888,6657,7201,6341,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Patna,Jun 2025,103.2,6705,6698,6994,6143,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Patna,Jun 2026,111.12,7220,7609,7555,6459,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Patna,Mar 2026,109.16,7092,6696,7438,6529,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Patna,Sep 2025,103.07,6697,6340,6991,6222,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pimpri Chinchwad,Dec 2025,103.12,7095,7105,7075,7203,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pimpri Chinchwad,Jun 2025,101.08,6954,6876,7036,7314,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pimpri Chinchwad,Jun 2026,105.14,7234,7135,7347,7483,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pimpri Chinchwad,Mar 2026,104.62,7198,7159,7220,7718,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pimpri Chinchwad,Sep 2025,101.13,6958,6946,6960,7229,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pune,Dec 2025,101.95,10263,8645,10973,13170,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pune,Jun 2025,101.13,10181,8617,10762,13372,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pune,Jun 2026,104.9,10561,8879,11281,13645,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pune,Mar 2026,103.06,10375,8740,11053,13456,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Pune,Sep 2025,101.02,10170,8531,10840,13294,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Raipur,Dec 2025,91.75,3375,2261,4053,4852,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Raipur,Jun 2025,93.96,3456,2233,4223,5038,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Raipur,Jun 2026,104.29,3836,2999,4313,5007,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Raipur,Mar 2026,97.71,3594,2606,4166,4960,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Raipur,Sep 2025,92.15,3389,2200,4125,4948,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Rajkot,Dec 2025,99.43,6212,5952,6519,6997,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Rajkot,Jun 2025,99.83,6237,5982,6594,6825,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Rajkot,Jun 2026,100.48,6278,5937,6576,7657,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Rajkot,Mar 2026,99.84,6237,5918,6572,7348,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Rajkot,Sep 2025,99.73,6231,5982,6558,6878,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ranchi,Dec 2025,104.35,5559,5117,5732,5435,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ranchi,Jun 2025,100.27,5341,4823,5673,5079,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ranchi,Jun 2026,109.66,5841,4987,6023,5743,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ranchi,Mar 2026,106.01,5647,4821,5854,5524,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Ranchi,Sep 2025,102.61,5466,5413,5695,5262,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Surat,Dec 2025,100.55,6113,5045,6814,9154,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Surat,Jun 2025,99.72,6063,5043,6752,8903,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Surat,Jun 2026,105.14,6392,5368,6974,9572,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Surat,Mar 2026,102.89,6256,5204,6863,9492,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Surat,Sep 2025,99.24,6033,4996,6819,8677,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thane,Dec 2025,100.56,18469,17532,20415,21432,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thane,Jun 2025,100.11,18387,17670,19749,21364,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thane,Jun 2026,103.62,19032,18095,21084,21377,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thane,Mar 2026,102.27,18785,17837,20749,21788,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thane,Sep 2025,99.58,18290,17466,19930,21300,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thiruvananthapuram,Dec 2025,100.21,7788,8901,7724,7565,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thiruvananthapuram,Jun 2025,98.18,7630,8954,7809,6974,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thiruvananthapuram,Jun 2026,105.3,8183,8825,8397,7669,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thiruvananthapuram,Mar 2026,101.15,7861,8680,8018,7385,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Thiruvananthapuram,Sep 2025,99.11,7702,8408,7801,7347,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vadodara,Dec 2025,101.19,5147,4883,5323,6099,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vadodara,Jun 2025,100.61,5118,4851,5282,6138,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vadodara,Jun 2026,103.51,5265,5003,5405,6375,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vadodara,Mar 2026,102.43,5210,4950,5353,6296,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vadodara,Sep 2025,100.95,5135,4856,5312,6176,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vasai Virar,Dec 2025,100.2,8648,8687,7789,7406,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vasai Virar,Jun 2025,100.95,8712,8754,7756,8251,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vasai Virar,Jun 2026,102.67,8861,8910,7763,7750,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vasai Virar,Mar 2026,101.99,8802,8848,7798,7112,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vasai Virar,Sep 2025,100.28,8655,8693,7752,9183,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vijayawada,Dec 2025,100.83,5341,5245,5068,6123,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vijayawada,Jun 2025,101.0,5350,5169,5066,6251,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vijayawada,Jun 2026,103.21,5467,5407,5278,6001,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vijayawada,Mar 2026,102.55,5433,5406,5205,6026,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vijayawada,Sep 2025,100.88,5344,5206,5090,6124,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vizag,Dec 2025,101.64,6087,5852,5775,7183,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vizag,Jun 2025,100.62,6026,5845,5725,7040,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vizag,Jun 2026,101.91,6103,5609,5906,7140,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vizag,Mar 2026,100.93,6044,5576,5838,7078,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
Vizag,Sep 2025,101.7,6091,5904,5843,6962,NHB RESIDEX,https://residex.nhbonline.org.in/,FY 2024-25 base year/current series,Jun 2025 to Jun 2026
